"","inPathway","outPathway"
"ATP sensitive Potassium channels",6,393082
"Interleukin-12 family signaling",59,393029
"Phospholipase C-mediated cascade; FGFR4",19,393069
"trans-Golgi Network Vesicle Budding",80,393008
"G2/M Transition",205,392883
"Erythrocytes take up carbon dioxide and release oxygen",26,393062
"Recycling of bile acids and salts",36,393052
"Regulated Necrosis",28,393060
"RUNX1 regulates transcription of genes involved in interleukin signaling",5,393083
"Regulation of gap junction activity",5,393083
"Mitochondrial translation elongation",114,392974
"RNA Polymerase II Transcription Termination",67,393021
"Signaling by ERBB4",54,393034
"Pausing and recovery of Tat-mediated HIV elongation",39,393049
"Defective ALG3 causes ALG3-CDG (CDG-1d)",2,393086
"RNA polymerase II transcribes snRNA genes",80,393008
"TP53 Regulates Transcription of Death Receptors and Ligands",12,393076
"Lactose synthesis",31,393057
"PIPs transport between plasma and early endosome membranes",1,393087
"ABC-family proteins mediated transport",125,392963
"Inhibition of replication initiation of damaged DNA by RB1/E2F1",13,393075
"Mitochondrial Fatty Acid Beta-Oxidation",105,392983
"Interactions of Tat with host cellular proteins",3,393085
"Phase II - Conjugation of compounds",257,392831
"Signal Transduction",2909,390179
"Minus-strand DNA synthesis",9,393079
"Post NMDA receptor activation events",44,393044
"Ion channel transport",236,392852
"Loss of Function of TGFBR2 in Cancer",5,393083
"Tolerance by Mtb to nitric oxide produced by macrophages",37,393051
"Signaling by FGFR1 amplification mutants",13,393075
"Electric Transmission Across Gap Junctions",6,393082
"CD28 dependent PI3K/Akt signaling",26,393062
"Vitamin B2 (riboflavin) metabolism",17,393071
"Formation of RNA Pol II elongation complex ",61,393027
"ERBB2 Regulates Cell Motility",19,393069
"Mitochondrial Uncoupling Proteins",13,393075
"Stimuli-sensing channels",120,392968
"Vpr-mediated induction of apoptosis by mitochondrial outer membrane permeabilization",4,393084
"SRP-dependent cotranslational protein targeting to membrane",114,392974
"Mitochondrial transcription termination",1,393087
"Defective SLC6A3 causes Parkinsonism-dystonia infantile (PKDYS)",2,393086
"Disorders of transmembrane transporters",171,392917
"Defective SLC16A1 causes symptomatic deficiency in lactate transport (SDLT)",5,393083
"Constitutive Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant",8,393080
"Transport of Mature Transcript to Cytoplasm",89,392999
"Defective CHST14 causes EDS, musculocontractural type",8,393080
"RHO GTPases Activate Rhotekin and Rhophilins",10,393078
"Highly calcium permeable nicotinic acetylcholine receptors",11,393077
"Regulation of insulin secretion",103,392985
"Extension of Telomeres",44,393044
"Downstream signaling of activated FGFR3",34,393054
"Defective SLC26A4 causes Pendred syndrome (PDS)",1,393087
"CLEC7A (Dectin-1) signaling",114,392974
"Aquaporin-mediated transport",66,393022
"Abortive elongation of HIV-1 transcript in the absence of Tat",27,393061
"Protein-protein interactions at synapses",90,392998
"RHO GTPase Effectors",311,392777
"Regulation of IFNA signaling",28,393060
"Downregulation of SMAD2/3:SMAD4 transcriptional activity",27,393061
"G beta:gamma signalling through PLC beta",23,393065
"G alpha (q) signalling events",240,392848
"Uncoating of the Influenza Virion",10,393078
"Mitotic Prophase",133,392955
"Abacavir transmembrane transport",10,393078
"Reactions specific to the hybrid N-glycan synthesis pathway",3,393085
"The canonical retinoid cycle in rods (twilight vision)",56,393032
"Defective C1GALT1C1 causes Tn polyagglutination syndrome (TNPS)",19,393069
"Alternative complement activation",6,393082
"Signalling by NGF",594,392494
"Hydrolysis of LPC",18,393070
"Uptake and function of diphtheria toxin",10,393078
"Toxicity of botulinum toxin type E (BoNT/E)",8,393080
"Processing of Capped Intron-Containing Pre-mRNA",247,392841
"ECM proteoglycans",79,393009
"CD22 mediated BCR regulation",72,393016
"Tandem of pore domain in a weak inwardly rectifying K+ channels (TWIK)",4,393084
"Diseases associated with N-glycosylation of proteins",21,393067
"rRNA processing in the nucleus and cytosol",211,392877
"PI and PC transport between ER and Golgi membranes",3,393085
"Dectin-1 mediated noncanonical NF-kB signaling",62,393026
"Defective ABCA3 causes pulmonary surfactant metabolism dysfunction 3 (SMDP3)",4,393084
"Utilization of Ketone Bodies",14,393074
"Signaling by EGFRvIII in Cancer",26,393062
"Downstream signaling of activated FGFR2",41,393047
"HDMs demethylate histones",32,393056
"Signalling to RAS",278,392810
"Beta oxidation of octanoyl-CoA to hexanoyl-CoA",18,393070
"InlA-mediated entry of Listeria monocytogenes into host cells",14,393074
"Glycogen storage disease type Ia (G6PC)",2,393086
"Classical antibody-mediated complement activation",97,392991
"Cleavage of the damaged purine",8,393080
"Resolution of AP sites via the single-nucleotide replacement pathway",7,393081
"tRNA modification in the nucleus and cytosol",122,392966
"Variant SLC6A20 contributes towards hyperglycinuria (HG) and iminoglycinuria (IG)1",2,393086
"Defective CSF2RB causes pulmonary surfactant metabolism dysfunction 5 (SMDP5)",8,393080
"Signaling by FGFR3 point mutants in cancer",40,393048
"TP53 Regulates Transcription of Cell Death Genes",54,393034
"Pentose phosphate pathway (hexose monophosphate shunt)",46,393042
"Transport of inorganic cations/anions and amino acids/oligopeptides",165,392923
"Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant",8,393080
"Global Genome Nucleotide Excision Repair (GG-NER)",92,392996
"Acetylation",16,393072
"Interleukin-3, 5 and GM-CSF signaling",293,392795
"Visual phototransduction",168,392920
"Transcriptional  activation of  cell cycle inhibitor p21 ",4,393084
"MET activates PTPN11",5,393083
"Defective POMT1 causes MDDGA1, MDDGB1 and MDDGC1",2,393086
"Ca2+ pathway",74,393014
"Pre-NOTCH Processing in Golgi",23,393065
"Interleukin-6 family signaling",30,393058
"RUNX1 regulates transcription of genes involved in differentiation of HSCs",103,392985
"Catecholamine biosynthesis",30,393058
"Hormone ligand-binding receptors",13,393075
"Activation of Rac",17,393071
"G0 and Early G1",29,393059
"Neurofascin interactions",9,393079
"Loss of Function of SMAD2/3 in Cancer",9,393079
"Translation initiation complex formation",61,393027
"Transcriptional regulation by RUNX3",121,392967
"Class C/3 (Metabotropic glutamate/pheromone receptors)",93,392995
"c-src mediated regulation of Cx43 function and closure of gap junctions",5,393083
"Signaling by plasma membrane FGFR1 fusions",5,393083
"Metabolism of vitamin K",9,393079
"Degradation of AXIN",57,393031
"Defective MOGS causes MOGS-CDG (CDG-2b)",1,393087
"Transmission across Chemical Synapses",278,392810
"Integration of viral DNA into host genomic DNA",9,393079
"NADPH regeneration",7,393081
"Apoptotic cleavage of cell adhesion  proteins",11,393077
"S45 mutants of beta-catenin aren't phosphorylated",16,393072
"PPARA activates gene expression",135,392953
"IRS-mediated signalling",321,392767
"MyD88-independent TLR3/TLR4 cascade ",111,392977
"MET activates STAT3",5,393083
"Activation of G protein gated Potassium channels",27,393061
"tRNA Aminoacylation",108,392980
"Sodium-coupled phosphate cotransporters",8,393080
"RNA Polymerase II HIV Promoter Escape",51,393037
"FGFR1c and Klotho ligand binding and activation",7,393081
"Defective SLC35C1 causes congenital disorder of glycosylation 2C (CDG2C)",1,393087
"Attenuation phase",15,393073
"Signaling by Hedgehog",160,392928
"EPH-Ephrin signaling",105,392983
"Influenza Virus Induced Apoptosis",4,393084
"Termination of O-glycan biosynthesis",28,393060
"Signalling to ERKs",287,392801
"NRAGE signals death through JNK",63,393025
"ADP signalling through P2Y purinoceptor 12",25,393063
"TWIK-related alkaline pH activated K+ channel (TALK)",3,393085
"Cytosolic iron-sulfur cluster assembly",23,393065
"LDL remodeling",8,393080
"Intra-Golgi and retrograde Golgi-to-ER traffic",217,392871
"RAF-independent MAPK1/3 activation",28,393060
"RNA Polymerase III Transcription Initiation From Type 2 Promoter",27,393061
"RUNX1 interacts with co-factors whose precise effect on RUNX1 targets is not known",39,393049
"Defective GFPT1 causes CMSTA1",2,393086
"Vitamin D (calciferol) metabolism",17,393071
"RNA Polymerase II Transcription Elongation",65,393023
"PTK6 promotes HIF1A stabilization",8,393080
"Proton/oligopeptide cotransporters",9,393079
"Defective SLC4A1 causes hereditary spherocytosis type 4 (HSP4),  distal renal tubular acidosis (dRTA) and dRTA with hemolytic anemia (dRTA-HA)",2,393086
"Nucleobase catabolism",139,392949
"RUNX1 regulates transcription of genes involved in differentiation of keratinocytes",8,393080
"Post-chaperonin tubulin folding pathway",24,393064
"Glutamate Neurotransmitter Release Cycle",32,393056
"Cargo concentration in the ER",37,393051
"Processing of Capped Intronless Pre-mRNA",28,393060
"GP1b-IX-V activation signalling",12,393076
"Activation of caspases through apoptosome-mediated cleavage",7,393081
"Retinoid metabolism and transport",79,393009
"HDR through Homologous Recombination (HR) or Single Strand Annealing (SSA)",124,392964
"Defective CYP11A1 causes Adrenal insufficiency, congenital, with 46,XY sex reversal (AICSR)",9,393079
"Transferrin endocytosis and recycling",39,393049
"Tandem pore domain potassium channels",13,393075
"Triglyceride metabolism",67,393021
"Signaling by cytosolic FGFR1 fusion mutants",26,393062
"Membrane Trafficking",666,392422
"DNA Damage Recognition in GG-NER",40,393048
"Activation of GABAB receptors",45,393043
"Reproduction",31,393057
"IRS-related events triggered by IGF1R",325,392763
"Homologous DNA Pairing and Strand Exchange",44,393044
"Signaling by Hippo",22,393066
"FGFRL1 modulation of FGFR1 signaling",14,393074
"Downstream signaling of activated FGFR4",35,393053
"Defective ABCC8 can cause hypoglycemias and hyperglycemias",3,393085
"Defective SLC11A2 causes hypochromic microcytic anemia, with iron overload 1 (AHMIO1)",2,393086
"FRS-mediated FGFR4 signaling",27,393061
"SLC-mediated transmembrane transport",410,392678
"B-WICH complex positively regulates rRNA expression",62,393026
"Mitochondrial transcription initiation",3,393085
"Nonhomologous End-Joining (NHEJ)",57,393031
"Defective MAT1A causes Methionine adenosyltransferase deficiency (MATD)",3,393085
"Histidine, lysine, phenylalanine, tyrosine, proline and tryptophan catabolism",137,392951
"Signaling by TGF-beta Receptor Complex",79,393009
"Defective pro-SFTPC causes pulmonary surfactant metabolism dysfunction 2 (SMDP2) and respiratory distress syndrome (RDS)",2,393086
"Type I hemidesmosome assembly",11,393077
"Leading Strand Synthesis",16,393072
"Activation of NF-kappaB in B cells",72,393016
"Apoptosis induced DNA fragmentation",14,393074
"Elevation of cytosolic Ca2+ levels",22,393066
"Adenosine P1 receptors",5,393083
"Toll Like Receptor 5 (TLR5) Cascade",95,392993
"COPI-mediated anterograde transport",106,392982
"Ligand-dependent caspase activation",22,393066
"rRNA modification in the mitochondrion",11,393077
"Metabolism of water-soluble vitamins and cofactors",250,392838
"Regulation of mRNA stability by proteins that bind AU-rich elements",91,392997
"Viral Messenger RNA Synthesis",55,393033
"Deadenylation-dependent mRNA decay",67,393021
"G protein gated Potassium channels",27,393061
"RAS signaling downstream of NF1 loss-of-function variants",5,393083
"Defective SLC17A8 causes autosomal dominant deafness 25 (DFNA25)",2,393086
"Regulation of mitotic cell cycle",90,392998
"Alpha-oxidation of phytanate",31,393057
"Cooperation of Prefoldin and TriC/CCT  in actin and tubulin folding",36,393052
"SHC1 events in ERBB2 signaling",35,393053
"mTORC1-mediated signalling",27,393061
"Cytosolic sulfonation of small molecules",71,393017
"Tetrahydrobiopterin (BH4) synthesis, recycling, salvage and regulation",37,393051
"VLDL assembly",9,393079
"Gap junction degradation",12,393076
"HDL assembly",18,393070
"Constitutive Signaling by EGFRvIII",26,393062
"Circadian Clock",75,393013
"TP53 Regulates Transcription of Caspase Activators and Caspases",14,393074
"Signaling by FGFR3",52,393036
"Reduction of cytosolic Ca++ levels",15,393073
"FRS-mediated FGFR1 signaling",30,393058
"Endogenous sterols",71,393017
"Vpu mediated degradation of CD4",53,393035
"GRB2 events in ERBB2 signaling",20,393068
"mRNA decay by 5' to 3' exoribonuclease",22,393066
"Orexin and neuropeptides FF and QRFP bind to their respective receptors",8,393080
"Glucuronidation1",68,393020
"Toxicity of botulinum toxin type B (BoNT/B)",11,393077
"Inhibition of PKR",2,393086
"TWIK-releated acid-sensitive K+ channel (TASK)",3,393085
"Neurotransmitter receptors and postsynaptic signal transmission",160,392928
"Sphingolipid metabolism",198,392890
"Synaptic adhesion-like molecules",23,393065
"Synthesis of PE",33,393055
"Diseases of glycosylation",137,392951
"Synthesis of DNA",113,392975
"Defective SLCO1B1 causes hyperbilirubinemia, Rotor type (HBLRR)",5,393083
"TNFs bind their physiological receptors",30,393058
"SMAD2/3 Phosphorylation Motif Mutants in Cancer",7,393081
"Defective SLC17A5 causes Salla disease (SD) and ISSD",2,393086
"Defective B4GALT1 causes B4GALT1-CDG (CDG-2d)1",9,393079
"PIPs transport between early endosome and Golgi membranes",1,393087
"Activation of the pre-replicative complex",35,393053
"NrCAM interactions",7,393081
"Metabolism",3396,389692
"Mitochondrial ABC transporters",10,393078
"Uptake and actions of bacterial toxins",60,393028
"Propionyl-CoA catabolism",14,393074
"Lectin pathway of complement activation",15,393073
"Progressive trimming of alpha-1,2-linked mannose residues from Man9/8/7GlcNAc2 to produce Man5GlcNAc2",10,393078
"Inhibition of Host mRNA Processing and RNA Silencing",3,393085
"Vasopressin-like receptors",6,393082
"Formation of annular gap junctions",11,393077
"Cargo recognition for clathrin-mediated endocytosis",108,392980
"Neddylation",240,392848
"tRNA processing",197,392891
"Calmodulin induced events",35,393053
"mRNA 3'-end processing",58,393030
"Highly calcium permeable postsynaptic nicotinic acetylcholine receptors",13,393075
"Ethanol oxidation",28,393060
"Resolution of AP sites via the multiple-nucleotide patch replacement pathway",32,393056
"SLBP Dependent Processing of Replication-Dependent Histone Pre-mRNAs",11,393077
"Transport to the Golgi and subsequent modification",218,392870
"TRAF6 mediated NF-kB activation",32,393056
"Antagonism of Activin by Follistatin",4,393084
"IRAK4 deficiency (TLR5)",5,393083
"Synthesis of BMP",2,393086
"Vitamin C (ascorbate) metabolism",20,393068
"Synthesis of PS",8,393080
"Formation of selenosugars for excretion",12,393076
"Formation of a pool of free 40S subunits",102,392986
"Defective MMAA causes methylmalonic aciduria type cblA",4,393084
"MAPK targets/ Nuclear events mediated by MAP kinases",35,393053
"Regulation by c-FLIP",11,393077
"Terminal pathway of complement",8,393080
"Defective SRD5A3 causes SRD5A3-CDG (CDG-1q) and KHRZ",2,393086
"RORA activates gene expression",33,393055
"TFAP2 (AP-2) family regulates transcription of growth factors and their receptors",13,393075
"RUNX1 and FOXP3 control the development of regulatory T lymphocytes (Tregs)",10,393078
"Regulation of cytoskeletal remodeling and cell spreading by IPP complex components",8,393080
"Signaling by NOTCH",122,392966
"Deubiquitination",289,392799
"Downregulation of ERBB2 signaling",36,393052
"Negative regulation of MAPK pathway",45,393043
"Biosynthesis of A2E, implicated in retinal degradation",8,393080
"HSF1-dependent transactivation",27,393061
"Interferon alpha/beta signaling",130,392958
"Glycerophospholipid catabolism",18,393070
"Transport of glycerol from adipocytes to the liver by Aquaporins",3,393085
"Toxicity of botulinum toxin type D (BoNT/D)",9,393079
"Myogenesis",32,393056
"Digestion of dietary lipid",24,393064
"Orc1 removal from chromatin",73,393015
"GLI3 is processed to GLI3R by the proteasome",62,393026
"SUMOylation of RNA binding proteins",49,393039
"MHC class II antigen presentation",137,392951
"Termination of translesion DNA synthesis",35,393053
"Defective SLC6A19 causes Hartnup disorder (HND)1",13,393075
"Diseases of Immune System",34,393054
"Recruitment and ATM-mediated phosphorylation of repair and signaling proteins at DNA double strand breaks",66,393022
"IRAK2 mediated activation of TAK1 complex upon TLR7/8 or 9 stimulation",20,393068
"Beta-catenin independent WNT signaling",159,392929
"Heme degradation",20,393068
"Signaling by NOTCH2",33,393055
"RUNX3 regulates p14-ARF",14,393074
"E2F mediated regulation of DNA replication",22,393066
"Defective CYP2R1 causes Rickets vitamin D-dependent 1B (VDDR1B)",4,393084
"SLC transporter disorders",88,393000
"Defective MMACHC causes methylmalonic aciduria and homocystinuria type cblC",5,393083
"TRKA activation by NGF",5,393083
"Diseases of Mismatch Repair (MMR)",5,393083
"Sialic acid metabolism",60,393028
"Infectious disease",536,392552
"Inositol phosphate metabolism",160,392928
"Defective B4GALT7 causes EDS, progeroid type",20,393068
"FGFR2b ligand binding and activation",14,393074
"Hemostasis",798,392290
"Processive synthesis on the lagging strand",19,393069
"Defective Mismatch Repair Associated With MSH3",2,393086
"betaKlotho-mediated ligand binding",6,393082
"Prolactin receptor signaling",18,393070
"DNA replication initiation",16,393072
"RNA Pol II CTD phosphorylation and interaction with CE",27,393061
"Activation of BAD and translocation to mitochondria ",19,393069
"Defective AHCY causes Hypermethioninemia with S-adenosylhomocysteine hydrolase deficiency (HMAHCHD)",2,393086
"Fructose catabolism",20,393068
"GABA synthesis, release, reuptake and degradation",35,393053
"Eicosanoids",25,393063
"NOTCH2 intracellular domain regulates transcription",12,393076
"RNA Polymerase I Promoter Opening",35,393053
"HIV elongation arrest and recovery",40,393048
"RNA Polymerase II Transcription Initiation",51,393037
"Downstream signaling events of B Cell Receptor (BCR)",307,392781
"Adrenoceptors",11,393077
"Asymmetric localization of PCP proteins",66,393022
"Transcriptional activation of p53 responsive genes  ",4,393084
"Deactivation of the beta-catenin transactivating complex",44,393044
"Defective HK1 causes hexokinase deficiency (HK deficiency)",2,393086
"Chylomicron clearance",9,393079
"COPI-independent Golgi-to-ER retrograde traffic",62,393026
"The proton buffering model",11,393077
"Signaling by BMP",30,393058
"G-protein activation",30,393058
"NGF-independant TRKA activation",6,393082
"Cyclin A:Cdk2-associated events at S phase entry",85,393003
"Signaling by BRAF and RAF fusions",68,393020
"ZBP1(DAI) mediated induction of type I IFNs",34,393054
"Estrogen biosynthesis",16,393072
"APC truncation mutants are not K63 polyubiquitinated",1,393087
"Cytosolic tRNA aminoacylation",90,392998
"mRNA Splicing",188,392900
"Chromatin modifying enzymes",257,392831
"Transcriptional Regulation by TP53",403,392685
"Export of Viral Ribonucleoproteins from Nucleus",44,393044
"SEMA3A-Plexin repulsion signaling by inhibiting Integrin adhesion",19,393069
"LDL clearance",28,393060
"Regulation of FZD by ubiquitination",22,393066
"CD28 co-stimulation",41,393047
"NF-kB is activated and signals survival",15,393073
"Rev-mediated nuclear export of HIV RNA",41,393047
"ERCC6 (CSB) and EHMT2 (G9a) positively regulate rRNA expression",48,393040
"Defective Mismatch Repair Associated With MSH6",1,393087
"CDK-mediated phosphorylation and removal of Cdc6",53,393035
"Mitotic G1-G1/S phases",150,392938
"MPS IIIA - Sanfilippo syndrome A",3,393085
"Mismatch repair (MMR) directed by MSH2:MSH6 (MutSalpha)",23,393065
"Signaling by NOTCH3",12,393076
"Ephrin signaling",23,393065
"Defective SLC9A9 causes autism 16 (AUTS16)",2,393086
"Glutamate binding, activation of AMPA receptors and synaptic plasticity",39,393049
"Interconversion of 2-oxoglutarate and 2-hydroxyglutarate",13,393075
"RUNX1 regulates transcription of genes involved in WNT signaling",7,393081
"TRAF6 mediated IRF7 activation",35,393053
"Presynaptic depolarization and calcium channel opening",15,393073
"TCR signaling",136,392952
"Clathrin-mediated endocytosis",154,392934
"Sema4D mediated inhibition of cell attachment and migration",14,393074
"Synthesis of (16-20)-hydroxyeicosatetraenoic acids (HETE)",20,393068
"Cohesin Loading onto Chromatin",10,393078
"Defective SLC29A3 causes histiocytosis-lymphadenopathy plus syndrome (HLAS)",7,393081
"Activation of AMPA receptors",7,393081
"DEx/H-box helicases activate type I IFN and inflammatory cytokines production ",16,393072
"Activation of kainate receptors upon glutamate binding",34,393054
"RUNX1 regulates estrogen receptor mediated transcription",7,393081
"Defective SLC34A2 causes pulmonary alveolar microlithiasis (PALM)",3,393085
"Cellular Senescence",309,392779
"Regulation of necroptotic cell death",21,393067
"TGFBR1 LBD Mutants in Cancer",4,393084
"Beta oxidation of butanoyl-CoA to acetyl-CoA",19,393069
"Integrin alphaIIb beta3 signaling",38,393050
"Abnormal conversion of 2-oxoglutarate to 2-hydroxyglutarate",6,393082
"PI3K Cascade",98,392990
"Defective SLC34A3 causes Hereditary hypophosphatemic rickets with hypercalciuria (HHRH)",2,393086
"Beta oxidation of decanoyl-CoA to octanoyl-CoA-CoA",21,393067
"Negative regulation of FGFR2 signaling",41,393047
"Insulin effects increased synthesis of Xylulose-5-Phosphate",10,393078
"Selenocysteine synthesis",114,392974
"Defective SLC40A1 causes hemochromatosis 4 (HFE4) (macrophages)",1,393087
"alpha-linolenic acid (ALA) metabolism",45,393043
"Budding",10,393078
"Cell Cycle1",691,392397
"Translocation of ZAP-70 to Immunological synapse",32,393056
"WNT ligand biogenesis and trafficking",28,393060
"Defective SLC9A6 causes  X-linked, syndromic mental retardation,, Christianson type (MRXSCH)",2,393086
"APC/C:Cdc20 mediated degradation of mitotic proteins",75,393013
"Activation of C3 and C5",7,393081
"CS/DS degradation",29,393059
"Pyrimidine catabolism",51,393037
"TNFR1-mediated ceramide production",6,393082
"WNT mediated activation of DVL",12,393076
"Anchoring of the basal body to the plasma membrane",99,392989
"TP53 regulates transcription of several additional cell death genes whose specific roles in p53-dependent apoptosis remain uncertain",21,393067
"Defective ABCA12 causes autosomal recessive congenital ichthyosis type 4B",3,393085
"Processing of DNA double-strand break ends",90,392998
"Defective ABCG5 causes sitosterolemia",4,393084
"Phenylalanine and tyrosine catabolism",42,393046
"Defective SLC35A3 causes arthrogryposis, mental retardation, and seizures (AMRS)",2,393086
"Degradation of beta-catenin by the destruction complex",84,393004
"Synthesis of bile acids and bile salts via 27-hydroxycholesterol",34,393054
"A tetrasaccharide linker sequence is required for GAG synthesis",31,393057
"Metal sequestration by antimicrobial proteins",13,393075
"Acyl chain remodeling of DAG and TAG",18,393070
"Defective CYP26C1 causes Focal facial dermal dysplasia 4 (FFDD4)",4,393084
"FGFR1 mutant receptor activation",48,393040
"FGFR3c ligand binding and activation",18,393070
"Linoleic acid (LA) metabolism",32,393056
"Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants",61,393027
"Telomere Maintenance",77,393011
"Conjugation of carboxylic acids",24,393064
"Glycine degradation",16,393072
"Presynaptic function of Kainate receptors",23,393065
"Signaling by ERBB2",67,393021
"Base-Excision Repair, AP Site Formation",24,393064
"HDACs deacetylate histones",63,393025
"Import of palmitoyl-CoA into the mitochondrial matrix",28,393060
"mRNA Editing: A to I Conversion",4,393084
"Negative regulation of FGFR1 signaling",39,393049
"Fatty acid metabolism",499,392589
"GABA A receptor activation",15,393073
"DNA Double-Strand Break Repair",167,392921
"Acetylcholine regulates insulin secretion",19,393069
"Defective MMADHC causes methylmalonic aciduria and homocystinuria type cblD",3,393085
"Translesion synthesis by POLI",20,393068
"GABA B receptor activation",45,393043
"Methylation",52,393036
"Generation of second messenger molecules",48,393040
"Interleukin receptor SHC signaling",277,392811
"ALKBH2 mediated reversal of alkylation damage",8,393080
"Regulation of HSF1-mediated heat shock response",79,393009
"PKA-mediated phosphorylation of CREB",25,393063
"POLB-Dependent Long Patch Base Excision Repair",15,393073
"VLDLR internalisation and degradation",12,393076
"Cooperation of PDCL (PhLP1) and TRiC/CCT in G-protein beta folding",45,393043
"RNA Polymerase III Transcription Termination",23,393065
"Fcgamma receptor (FCGR) dependent phagocytosis",193,392895
"Defective SLC2A9 causes hypouricemia renal 2 (RHUC2)",3,393085
"Regulation of APC/C activators between G1/S and early anaphase",82,393006
"NRIF signals cell death from the nucleus",17,393071
"Defective SLC33A1 causes spastic paraplegia 42 (SPG42)",1,393087
"Synthesis of PIPs at the Golgi membrane",32,393056
"Cell-extracellular matrix interactions",19,393069
"Inhibition of IFN-beta",1,393087
"Acetylcholine binding and downstream events",17,393071
"Displacement of DNA glycosylase by APEX1",9,393079
"Formyl peptide receptors bind formyl peptides and many other ligands",11,393077
"Apoptotic cleavage of cellular proteins",38,393050
"Miscellaneous transport and binding events",36,393052
"Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters",22,393066
"VEGFR2 mediated cell proliferation",285,392803
"Common Pathway of Fibrin Clot Formation",25,393063
"Defective AVP causes neurohypophyseal diabetes insipidus (NDI)",4,393084
"alpha-linolenic (omega3) and linoleic (omega6) acid metabolism",55,393033
"Neurotransmitter clearance",34,393054
"Phosphorylation of CD3 and TCR zeta chains",35,393053
"Synthesis of bile acids and bile salts via 24-hydroxycholesterol",42,393046
"Defective SLC22A12 causes renal hypouricemia 1 (RHUC1)",2,393086
"Hypusine synthesis from eIF5A-lysine",12,393076
"rRNA processing in the mitochondrion",16,393072
"RHO GTPases Activate ROCKs",23,393065
"Reversible hydration of carbon dioxide",17,393071
"CLEC7A (Dectin-1) induces NFAT activation",18,393070
"Selenoamino acid metabolism",201,392887
"Formation of tubulin folding intermediates by CCT/TriC",29,393059
"Cell surface interactions at the vascular wall",256,392832
"ALKBH3 mediated reversal of alkylation damage",11,393077
"Defective SLCO1B1 causes hyperbilirubinemia, Rotor type (HBLRR)1",5,393083
"Metabolism of Angiotensinogen to Angiotensins",26,393062
"Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell",305,392783
"5-Phosphoribose 1-diphosphate biosynthesis",11,393077
"TET1,2,3 and TDG demethylate DNA",16,393072
"Sema4D induced cell migration and growth-cone collapse",28,393060
"Keratan sulfate degradation",22,393066
"Defective MTRR causes methylmalonic aciduria and homocystinuria type cblE",9,393079
"Defective ALG8 causes ALG8-CDG (CDG-1h)",2,393086
"Signaling by Rho GTPases",442,392646
"CaM pathway",35,393053
"Acyl chain remodelling of PI",25,393063
"Gap-filling DNA repair synthesis and ligation in GG-NER",27,393061
"HHAT G278V abrogates palmitoylation of Hh-Np",3,393085
"snRNP Assembly",59,393029
"Mitotic G2-G2/M phases",207,392881
"Glycerophospholipid biosynthesis",222,392866
"Metabolism of fat-soluble vitamins",89,392999
"Condensation of Prometaphase Chromosomes",15,393073
"SUMOylation",125,392963
"Keratan sulfate biosynthesis",37,393051
"SHC1 events in ERBB4 signaling",20,393068
"Defective CYP2U1 causes Spastic paraplegia 56, autosomal recessive (SPG56)",4,393084
"Antigen processing: Ubiquitination & Proteasome degradation",315,392773
"Synthesis of PIPs at the plasma membrane",69,393019
"NF-kB activation through FADD/RIP-1 pathway mediated by caspase-8 and -10",14,393074
"O-linked glycosylation of mucins",74,393014
"Cyclin E associated events during G1/S transition ",86,393002
"WNT5A-dependent internalization of FZD2, FZD5 and ROR2",13,393075
"rRNA modification in the nucleus and cytosol",78,393010
"Cellular responses to stress",453,392635
"Kinesins",67,393021
"TCF dependent signaling in response to WNT",213,392875
"Pyrimidine salvage",34,393054
"G-protein mediated events",64,393024
"CDO in myogenesis",32,393056
"Response to elevated platelet cytosolic Ca2+",144,392944
"Adrenaline signalling through Alpha-2 adrenergic receptor",5,393083
"cGMP effects",20,393068
"Role of second messengers in netrin-1 signaling",16,393072
"Regulation of TLR by endogenous ligand",31,393057
"Effects of PIP2 hydrolysis",40,393048
"Acyl chain remodelling of PG",26,393062
"Miscellaneous substrates",27,393061
"MyD88 deficiency (TLR2/4)",18,393070
"Tristetraprolin (TTP, ZFP36) binds and destabilizes mRNA",19,393069
"Defective SLC6A18 may confer susceptibility to iminoglycinuria and/or hyperglycinuria1",1,393087
"Mitochondrial translation termination",114,392974
"Signaling by moderate kinase activity BRAF mutants",47,393041
"Synthesis of diphthamide-EEF2",15,393073
"Dopamine Neurotransmitter Release Cycle",28,393060
"Cholesterol biosynthesis via lathosterol",14,393074
"Synthesis of 12-eicosatetraenoic acid derivatives",19,393069
"Activation of the phototransduction cascade",19,393069
"Nuclear signaling by ERBB4",28,393060
"Negative regulation of TCF-dependent signaling by DVL-interacting proteins",5,393083
"Defective MTR causes methylmalonic aciduria and homocystinuria type cblG",9,393079
"Defective ALG11 causes ALG11-CDG (CDG-1p)",2,393086
"FGFR3b ligand binding and activation",10,393078
"EPHB-mediated forward signaling",52,393036
"Stimulation of the cell death response by PAK-2p34",4,393084
"Eukaryotic Translation Elongation",119,392969
"ABC transporter disorders",89,392999
"Activation of SMO",20,393068
"Diseases of metabolism",156,392932
"Assembly of the pre-replicative complex",68,393020
