"","inPathway","outPathway"
"Degradation of AXIN",57,90437
"RHO GTPases Activate NADPH Oxidases",25,90469
"Defective SLC33A1 causes spastic paraplegia 42 (SPG42)",1,90493
"Defective ACTH causes Obesity and Pro-opiomelanocortinin deficiency (POMCD)",2,90492
"Defective SLC3A1 causes cystinuria (CSNU)",4,90490
"Defective MAN1B1 causes MRT15",2,90492
"Glycogen metabolism",70,90424
"Defective UGT1A1 causes hyperbilirubinemia",3,90491
"p53-Independent G1/S DNA damage checkpoint",55,90439
"Regulation of gene expression in beta cells",25,90469
"Tristetraprolin (TTP, ZFP36) binds and destabilizes mRNA",19,90475
"RNA Polymerase I Transcription Termination",31,90463
"Influenza Infection",198,90296
"Nuclear signaling by ERBB4",28,90466
"PTK6 Regulates RHO GTPases, RAS GTPase and MAP kinases",23,90471
"Transport of nucleosides and free purine and pyrimidine bases across the plasma membrane",25,90469
"Highly calcium permeable postsynaptic nicotinic acetylcholine receptors",13,90481
"RNA Polymerase I Promoter Clearance",83,90411
"Growth hormone receptor signaling",29,90465
"Digestion",66,90428
"MTF1 activates gene expression",4,90490
"Endosomal Sorting Complex Required For Transport (ESCRT)",35,90459
"Sphingolipid de novo biosynthesis",79,90415
"Sema4D induced cell migration and growth-cone collapse",28,90466
"Tandem pore domain potassium channels",13,90481
"Metabolism of water-soluble vitamins and cofactors",250,90244
"Apoptotic cleavage of cell adhesion  proteins",11,90483
"RNA Polymerase II Transcription Pre-Initiation And Promoter Opening",46,90448
"Defective ABCC6 causes pseudoxanthoma elasticum (PXE)",3,90491
"IP3 and IP4 transport between cytosol and nucleus",3,90491
"Sperm Motility And Taxes",13,90481
"Insulin receptor signalling cascade",324,90170
"Defective ABCG5 causes sitosterolemia",4,90490
"Beta oxidation of palmitoyl-CoA to myristoyl-CoA",16,90478
"Processing of Capped Intronless Pre-mRNA",28,90466
"Defective AVP causes neurohypophyseal diabetes insipidus (NDI)",4,90490
"Hyaluronan metabolism",24,90470
"Signaling by FGFR3 fusions in cancer",16,90478
"TNFR1-induced NFkappaB signaling pathway",30,90464
"Mismatch repair (MMR) directed by MSH2:MSH3 (MutSbeta)",23,90471
"Metabolism of vitamin K",9,90485
"Intrinsic Pathway for Apoptosis",47,90447
"RNA Polymerase I Chain Elongation",64,90430
"AMER1 mutants destabilize the destruction complex",14,90480
"Budding",10,90484
"Defective SLC1A1 is implicated in schizophrenia 18 (SCZD18) and dicarboxylic aminoaciduria (DCBXA)",6,90488
"Hypusine synthesis from eIF5A-lysine",12,90482
"Glutamate binding, activation of AMPA receptors and synaptic plasticity",39,90455
"RNA Polymerase II Transcription",1266,89228
"Defective SLC40A1 causes hemochromatosis 4 (HFE4) (duodenum)",1,90493
"SUMO is proteolytically processed",6,90488
"DNA Damage/Telomere Stress Induced Senescence",71,90423
"Proton-coupled neutral amino acid transporters",6,90488
"Nonsense Mediated Decay (NMD) enhanced by the Exon Junction Complex (EJC)",121,90373
"Loss of Function of TGFBR2 in Cancer",5,90489
"BBSome-mediated cargo-targeting to cilium",24,90470
"Uncoating of the Influenza Virion",10,90484
"GDP-fucose biosynthesis",21,90473
"Apoptosis induced DNA fragmentation",14,90480
"Defective pro-SFTPB causes pulmonary surfactant metabolism dysfunction 1 (SMDP1) and respiratory distress syndrome (RDS)",3,90491
"mRNA Editing: A to I Conversion",4,90490
"Conversion from APC/C:Cdc20 to APC/C:Cdh1 in late anaphase",21,90473
"SLC transporter disorders",88,90406
"Signaling by NOTCH3",12,90482
"Loss of Function of FBXW7 in Cancer and NOTCH1 Signaling",6,90488
"Defective SLC34A2 causes pulmonary alveolar microlithiasis (PALM)1",3,90491
"Cdc20:Phospho-APC/C mediated degradation of Cyclin A",72,90422
"Pink/Parkin Mediated Mitophagy",22,90472
"FRS-mediated FGFR4 signaling",27,90467
"Host Interactions of HIV factors",147,90347
"Collagen chain trimerization",44,90450
"Phase I - Functionalization of compounds",301,90193
"Frs2-mediated activation",274,90220
"FBXW7 Mutants and NOTCH1 in Cancer",6,90488
"Beta oxidation of myristoyl-CoA to lauroyl-CoA",16,90478
"TP53 Regulates Transcription of Genes Involved in G2 Cell Cycle Arrest",18,90476
"Tachykinin receptors bind tachykinins",5,90489
"Inactivation of Cdc42 and Rac",14,90480
"SUMO is conjugated to E1 (UBA2:SAE1)",8,90486
"Synthesis of 12-eicosatetraenoic acid derivatives",19,90475
"Transport of Mature mRNA derived from an Intron-Containing Transcript",80,90414
"Defective SLC5A7 causes distal hereditary motor neuronopathy 7A (HMN7A)",3,90491
"Defective MAT1A causes Methionine adenosyltransferase deficiency (MATD)",3,90491
"Regulation of mRNA stability by proteins that bind AU-rich elements",91,90403
"POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation",13,90481
"Interleukin-6 family signaling",30,90464
"Misspliced LRP5 mutants have enhanced beta-catenin-dependent signaling",6,90488
"RUNX3 regulates NOTCH signaling",14,90480
"Defective MAOA causes Brunner syndrome (BRUNS)",3,90491
"Defective POMGNT1 causes MDDGA3, MDDGB3 and MDDGC3",2,90492
"mTORC1-mediated signalling",27,90467
"Regulation by TREX1",7,90487
"Mineralocorticoid biosynthesis",20,90474
"Synthesis of PI",14,90480
"Initial triggering of complement",119,90375
"Scavenging by Class B Receptors",21,90473
"Defective CYP11B1 causes Adrenal hyperplasia 4 (AH4)",4,90490
"APC truncation mutants are not K63 polyubiquitinated",1,90493
"Antimicrobial peptides",122,90372
"N-glycan trimming and elongation in the cis-Golgi",18,90476
"Proton-coupled monocarboxylate transport",11,90483
"Trafficking of GluR2-containing AMPA receptors",23,90471
"Highly calcium permeable nicotinic acetylcholine receptors",11,90483
"Fatty Acids bound to GPR40 (FFAR1) regulate insulin secretion",19,90475
"Unblocking of NMDA receptor, glutamate binding and activation",22,90472
"Transport of vitamins, nucleosides, and related molecules",99,90395
"Apoptotic execution  phase",55,90439
"CLEC7A/inflammasome pathway",6,90488
"Mitotic Metaphase/Anaphase Transition",2,90492
"RUNX1 regulates transcription of genes involved in interleukin signaling",5,90489
"STAT6-mediated induction of chemokines",5,90489
"MHC class II antigen presentation",137,90357
"Metabolism of nitric oxide",58,90436
"Amino Acid conjugation",24,90470
"Constitutive Signaling by NOTCH1 HD Domain Mutants",16,90478
"Endosomal/Vacuolar pathway",71,90423
"Tolerance of reactive oxygen produced by macrophages",19,90475
"Displacement of DNA glycosylase by APEX1",9,90485
"SMAD2/3 Phosphorylation Motif Mutants in Cancer",7,90487
"RUNX3 regulates BCL2L11 (BIM) transcription",5,90489
"Defective SLC4A4 causes renal tubular acidosis, proximal, with ocular abnormalities and mental retardation (pRTA-OA)",2,90492
"Synthesis of PG",21,90473
"Cyclin A:Cdk2-associated events at S phase entry",85,90409
"Signaling by EGFRvIII in Cancer",26,90468
"Inwardly rectifying K+ channels",34,90460
"Regulation of PTEN localization",10,90484
"Toll Like Receptor 2 (TLR2) Cascade",114,90380
"MPS VI - Maroteaux-Lamy syndrome",4,90490
"MET activates PTK2 signaling",32,90462
"Semaphorin interactions",73,90421
"FRS-mediated FGFR3 signaling",26,90468
"Activation of HOX genes during differentiation",92,90402
"Golgi-to-ER retrograde transport",147,90347
"Fusion and Uncoating of the Influenza Virion",10,90484
"Downregulation of TGF-beta receptor signaling",28,90466
"Interconversion of nucleotide di- and triphosphates",83,90411
"Nonsense Mediated Decay (NMD) independent of the Exon Junction Complex (EJC)",98,90396
"Defective SLC5A7 causes distal hereditary motor neuronopathy 7A (HMN7A)1",3,90491
"Synthesis of Lipoxins (LX)",22,90472
"L1CAM interactions",129,90365
"Dual incision in TC-NER",68,90426
"Serotonin Neurotransmitter Release Cycle",23,90471
"Signaling by SCF-KIT",447,90047
"Signaling by TGF-beta Receptor Complex in Cancer",10,90484
"FGFRL1 modulation of FGFR1 signaling",14,90480
"Beta-catenin independent WNT signaling",159,90335
"RUNX1 regulates transcription of genes involved in BCR signaling",6,90488
"Processive synthesis on the lagging strand",19,90475
"IRF3-mediated induction of type I IFN",20,90474
"Resolution of Abasic Sites (AP sites)",47,90447
"Activation of DNA fragmentation factor",14,90480
"Fructose catabolism",20,90474
"InlA-mediated entry of Listeria monocytogenes into host cells",14,90480
"Degradation of DVL",57,90437
"Regulation by c-FLIP",11,90483
"Formation of tubulin folding intermediates by CCT/TriC",29,90465
"FGFR2 ligand binding and activation",26,90468
"VLDL clearance",10,90484
"Signalling to RAS",278,90216
"Activation of the pre-replicative complex",35,90459
"Defective FMO3 causes Trimethylaminuria (TMAU)",4,90490
"Synthesis, secretion, and inactivation of Glucose-dependent Insulinotropic Polypeptide (GIP)",21,90473
"tRNA processing",197,90297
"TRIF-mediated TLR3/TLR4 signaling ",111,90383
"Interferon Signaling",271,90223
"Enzymatic degradation of Dopamine by monoamine oxidase",10,90484
"PI3K/AKT activation",285,90209
"G0 and Early G1",29,90465
"Glycine degradation",16,90478
"Synthesis of PC",55,90439
"Repression of WNT target genes",12,90482
"Vitamin C (ascorbate) metabolism",20,90474
"Metabolism of amino acids and derivatives",661,89833
"Adrenaline,noradrenaline inhibits insulin secretion",32,90462
"Defective EXT2 causes exostoses 2",14,90480
"Transcriptional regulation of white adipocyte differentiation",93,90401
"Defective RFT1 causes RFT1-CDG (CDG-1n)",1,90493
"Invadopodia formation",5,90489
"Signaling by Overexpressed Wild-Type EGFR in Cancer",6,90488
" NS1 Mediated Effects on Host Pathways",44,90450
"Conjugation of phenylacetate with glutamine",10,90484
"Cobalamin (Cbl, vitamin B12) transport and metabolism",49,90445
"p130Cas linkage to MAPK signaling for integrins",22,90472
"Adenylate cyclase activating pathway",17,90477
"Defective POMT1 causes MDDGA1, MDDGB1 and MDDGC1",2,90492
"The retinoid cycle in cones (daylight vision)",19,90475
"Bicarbonate transporters",14,90480
"Toll Like Receptor 4 (TLR4) Cascade",146,90348
"Regulation of RUNX3 expression and activity",57,90437
"MET activates RAP1 and RAC1",13,90481
"Inhibition of Host mRNA Processing and RNA Silencing",3,90491
"Mucopolysaccharidoses",24,90470
"Formation of apoptosome",5,90489
"Keratinization",223,90271
"Synthesis of epoxy (EET) and dihydroxyeicosatrienoic acids (DHET)",23,90471
"Hyaluronan biosynthesis and export",7,90487
"LDL clearance",28,90466
"Defective CYP24A1 causes Hypercalcemia, infantile (HCAI)",4,90490
"SHC-related events triggered by IGF1R",15,90479
"CREB phosphorylation through the activation of CaMKK",7,90487
"Beta oxidation of lauroyl-CoA to decanoyl-CoA-CoA",18,90476
"Metabolism of ingested SeMet, Sec, MeSec into H2Se",40,90454
"Pausing and recovery of Tat-mediated HIV elongation",39,90455
"Plus-strand DNA synthesis",7,90487
"Purine catabolism",74,90420
"p75NTR recruits signalling complexes",16,90478
"Activation of Na-permeable kainate receptors",5,90489
"Defective GALE can cause Epimerase-deficiency galactosemia (EDG)",1,90493
"E2F mediated regulation of DNA replication",22,90472
"Cellular response to heat stress",101,90393
"Defective SLC35A3 causes arthrogryposis, mental retardation, and seizures (AMRS)",2,90492
"Activation of BMF and translocation to mitochondria",3,90491
"Telomere Maintenance",77,90417
"Integrin alphaIIb beta3 signaling",38,90456
"Defective SLC12A3 causes Gitelman syndrome (GS)",2,90492
"SUMOylation of RNA binding proteins",49,90445
"Defects in vitamin and cofactor metabolism",37,90457
"FCERI mediated NF-kB activation",175,90319
"Defective CSF2RA causes pulmonary surfactant metabolism dysfunction 4 (SMDP4)",8,90486
"Chaperonin-mediated protein folding",99,90395
"Mitochondrial biogenesis",110,90384
"cRNA Synthesis",8,90486
"Positive epigenetic regulation of rRNA expression",80,90414
"Degradation of beta-catenin by the destruction complex",84,90410
"DNA Damage Reversal",18,90476
"Cyclin A/B1/B2 associated events during G2/M transition",32,90462
"Deposition of new CENPA-containing nucleosomes at the centromere",55,90439
"Polymerase switching",16,90478
"Presynaptic depolarization and calcium channel opening",15,90479
"Ligand-independent caspase activation via DCC",12,90482
"Ephrin signaling",23,90471
"Toxicity of tetanus toxin (TeNT)",6,90488
"Zinc transporters",18,90476
"Adaptive Immune System",1147,89347
"Intestinal infectious diseases",3,90491
"Defective SLC40A1 causes hemochromatosis 4 (HFE4) (macrophages)",1,90493
"Pre-NOTCH Expression and Processing",53,90441
"Biotin transport and metabolism",19,90475
"PI3K Cascade",98,90396
"Molecules associated with elastic fibres",38,90456
"Mitochondrial calcium ion transport",27,90467
"Regulation of actin dynamics for phagocytic cup formation",158,90336
"Synthesis of bile acids and bile salts via 27-hydroxycholesterol",34,90460
"Cytosolic iron-sulfur cluster assembly",23,90471
"Defective DHDDS causes retinitis pigmentosa 59",2,90492
"Estrogen biosynthesis",16,90478
"Defective ABCC8 can cause hypoglycemias and hyperglycemias",3,90491
"Defective ALG2 causes ALG2-CDG (CDG-1i)",1,90493
"Synthesis of active ubiquitin: roles of E1 and E2 enzymes",33,90461
"TNF receptor superfamily (TNFSF) members mediating non-canonical NF-kB pathway",17,90477
"NOTCH2 intracellular domain regulates transcription",12,90482
"activated TAK1 mediates p38 MAPK activation",27,90467
"Inhibition of IFN-beta",1,90493
"AMPK inhibits chREBP transcriptional activation activity",11,90483
"PD-1 signaling",35,90459
"Glycogen storage disease type IV (GBE1)",5,90489
"Collagen biosynthesis and modifying enzymes",76,90418
"ECM proteoglycans",79,90415
"COPI-mediated anterograde transport",106,90388
"Utilization of Ketone Bodies",14,90480
"Defective SLC6A18 may confer susceptibility to iminoglycinuria and/or hyperglycinuria",1,90493
"Gamma-carboxylation of protein precursors",15,90479
"Defective ALG8 causes ALG8-CDG (CDG-1h)",2,90492
"FRS-mediated FGFR1 signaling",30,90464
"The activation of arylsulfatases",17,90477
"Antiviral mechanism by IFN-stimulated genes",83,90411
"Nef Mediated CD8 Down-regulation",8,90486
"APEX1-Independent Resolution of AP Sites via the Single Nucleotide Replacement Pathway",12,90482
"Defective SLC27A4 causes ichthyosis prematurity syndrome (IPS)",9,90485
"Eicosanoid ligand-binding receptors",25,90469
"PIPs transport between late endosome and Golgi membranes",1,90493
"Synthesis of Dolichyl-phosphate",24,90470
"Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein",158,90336
"NCAM signaling for neurite out-growth",306,90188
"ALKBH3 mediated reversal of alkylation damage",11,90483
"Acyl chain remodeling of CL",18,90476
"Defective CP causes aceruloplasminemia (ACERULOP)",3,90491
"Defective ABCB11 causes progressive familial intrahepatic cholestasis 2 and benign recurrent intrahepatic cholestasis 2",6,90488
"PP2A-mediated dephosphorylation of key metabolic factors",9,90485
"Toxicity of botulinum toxin type D (BoNT/D)",9,90485
"Toll-Like Receptors Cascades",186,90308
"Defective Mismatch Repair Associated With MLH1",2,90492
"Lipid particle organization",9,90485
"Cell Cycle, Mitotic",543,89951
"RNA Pol II CTD phosphorylation and interaction with CE",27,90467
"Iron uptake and transport",79,90415
"Glycogen storage disease type XV (GYG1)",4,90490
"HIV Transcription Initiation",51,90443
"Intestinal hexose absorption",8,90486
"Ovarian tumor domain proteases",44,90450
"PTK6 Regulates Cell Cycle",8,90486
"SUMO E3 ligases SUMOylate target proteins",116,90378
"Defective EXT1 causes exostoses 1, TRPS2 and CHDS",14,90480
"Response to elevated platelet cytosolic Ca2+",144,90350
"Phase 2 - plateau phase",30,90464
"Regulation of Hypoxia-inducible Factor (HIF) by oxygen",80,90414
"Complement cascade",155,90339
"Ca2+ activated K+ channels",10,90484
"Transcription from mitochondrial promoters",4,90490
"HS-GAG degradation",44,90450
"G-protein mediated events",64,90430
"Regulation of Commissural axon pathfinding by Slit and Robo",4,90490
"FCERI mediated MAPK activation",377,90117
"Ion homeostasis",64,90430
"p75NTR regulates axonogenesis",13,90481
"Digestion and absorption",74,90420
"Defective ALG3 causes ALG3-CDG (CDG-1d)",2,90492
"Synthesis of dolichyl-phosphate-glucose",9,90485
"MASTL Facilitates Mitotic Progression",12,90482
"Transcriptional regulation by small RNAs",81,90413
"Resolution of AP sites via the multiple-nucleotide patch replacement pathway",32,90462
"Synthesis of PS",8,90486
"Defective SLC4A1 causes hereditary spherocytosis type 4 (HSP4),  distal renal tubular acidosis (dRTA) and dRTA with hemolytic anemia (dRTA-HA)",2,90492
"Defective B3GALT6 causes EDSP2 and SEMDJL1",20,90474
"Defective SLC24A4 causes hypomineralized amelogenesis imperfecta (AI)",3,90491
"IPs transport between ER lumen and cytosol",2,90492
"Negative regulation of FGFR2 signaling",41,90453
"ER-Phagosome pathway",153,90341
"B-WICH complex positively regulates rRNA expression",62,90432
"Transport of Mature Transcript to Cytoplasm",89,90405
"Export of Viral Ribonucleoproteins from Nucleus",44,90450
"Pyrimidine biosynthesis",24,90470
"ATF6 (ATF6-alpha) activates chaperone genes",10,90484
"APC/C:Cdc20 mediated degradation of Cyclin B",23,90471
"Negative regulation of TCF-dependent signaling by DVL-interacting proteins",5,90489
"PERK regulates gene expression",30,90464
"Classical Kir channels",5,90489
"Serotonin and melatonin biosynthesis",20,90474
"Defective CYP17A1 causes Adrenal hyperplasia 5 (AH5)",6,90488
"Signaling by activated point mutants of FGFR1",15,90479
"Transport and synthesis of PAPS",13,90481
"Regulation of HSF1-mediated heat shock response",79,90415
"TCF dependent signaling in response to WNT",213,90281
"Sema3A PAK dependent Axon repulsion",19,90475
"Degradation of GLI1 by the proteasome",62,90432
"Synthesis And Processing Of GAG, GAGPOL Polyproteins",17,90477
"Netrin mediated repulsion signals",12,90482
"M/G1 Transition",88,90406
"Glycogen storage disease type II (GAA)",4,90490
"Inactivation, recovery and regulation of the phototransduction cascade",54,90440
"Cytosolic sulfonation of small molecules",71,90423
"NGF processing",5,90489
"Formation of the HIV-1 Early Elongation Complex",37,90457
"Centrosome maturation",82,90412
"Amine-derived hormones",56,90438
"Glutamate Neurotransmitter Release Cycle",32,90462
"Tie2 Signaling",22,90472
"Signaling by PTK6",68,90426
"Other semaphorin interactions",19,90475
"Defective SLC7A9 causes cystinuria (CSNU)",4,90490
"IL-6-type cytokine receptor ligand interactions",17,90477
"Inhibition of replication initiation of damaged DNA by RB1/E2F1",13,90481
"Intraflagellar transport",55,90439
"Senescence-Associated Secretory Phenotype (SASP)",83,90411
"Cardiac conduction",150,90344
"Ubiquitin-dependent degradation of Cyclin D1",53,90441
"SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription",34,90460
"SUMOylation of transcription factors",20,90474
"MPS IX - Natowicz syndrome",6,90488
"VEGFR2 mediated vascular permeability",44,90450
"Polo-like kinase mediated events",18,90476
"Constitutive Signaling by NOTCH1 t(7;9)(NOTCH1:M1580_K2555) Translocation Mutant",8,90486
"MAPK family signaling cascades",313,90181
"truncated APC mutants destabilize the destruction complex",14,90480
"Signaling by FGFR3 in disease",40,90454
"Rhesus glycoproteins mediate ammonium transport.",5,90489
"PAOs oxidise polyamines to amines",13,90481
"Organic anion transporters",25,90469
"Hydroxycarboxylic acid-binding receptors",7,90487
"EGFR interacts with phospholipase C-gamma",47,90447
"RUNX3 regulates CDKN1A transcription",7,90487
"Cell death signalling via NRAGE, NRIF and NADE",79,90415
"Signaling by NOTCH",122,90372
"Processing of Capped Intron-Containing Pre-mRNA",247,90247
"Sulfide oxidation to sulfate",21,90473
"Ca2+ pathway",74,90420
"Activation of AMPA receptors",7,90487
"Defective CYP2U1 causes Spastic paraplegia 56, autosomal recessive (SPG56)",4,90490
"The IPAF inflammasome",5,90489
"RHO GTPases Activate ROCKs",23,90471
"Disease",1296,89198
"PIPs transport between Golgi and plasma membranes",1,90493
"G2/M Transition",205,90289
"APC/C-mediated degradation of cell cycle proteins",90,90404
"Metabolism of RNA",760,89734
"Nucleotide salvage",68,90426
"PI3K events in ERBB4 signaling",15,90479
"Interleukin-9 signaling",3,90491
"CREB phosphorylation through the activation of Ras",34,90460
"Acyl chain remodelling of PC",40,90454
"G1 Phase",48,90446
"Regulation of RUNX1 Expression and Activity",21,90473
"RNA Polymerase II Transcription Elongation",65,90429
"O-glycosylation of TSR domain-containing proteins",41,90453
"Sodium-coupled sulphate, di- and tri-carboxylate transporters",9,90485
"Defective CYP26B1 causes Radiohumeral fusions with other skeletal and craniofacial anomalies (RHFCA)",4,90490
"ALKBH2 mediated reversal of alkylation damage",8,90486
"Regulation of TP53 Degradation",41,90453
"Voltage gated Potassium channels",44,90450
"Regulation of TP53 Expression",2,90492
"Fructose metabolism",27,90467
"Variant SLC6A20 contributes towards hyperglycinuria (HG) and iminoglycinuria (IG)",2,90492
"Cell-Cell communication",133,90361
"Prefoldin mediated transfer of substrate  to CCT/TriC",28,90466
"CaMK IV-mediated phosphorylation of CREB",7,90487
"MyD88 cascade initiated on plasma membrane",95,90399
"Phosphate bond hydrolysis by NTPDase proteins",33,90461
"Signaling by WNT in cancer",37,90457
"Acetylcholine Neurotransmitter Release Cycle",26,90468
"Developmental Biology",1111,89383
"Defective GCLC causes Hemolytic anemia due to gamma-glutamylcysteine synthetase deficiency (HAGGSD)",3,90491
"Uptake and actions of bacterial toxins",60,90434
"Defective CYP2R1 causes Rickets vitamin D-dependent 1B (VDDR1B)",4,90490
"Striated Muscle Contraction1",45,90449
"Activation of G protein gated Potassium channels",27,90467
"IRS-mediated signalling",321,90173
"RUNX1 regulates transcription of genes involved in differentiation of HSCs",103,90391
"Defective SLC6A19 causes Hartnup disorder (HND)1",13,90481
"Variant SLC6A20 contributes towards hyperglycinuria (HG) and iminoglycinuria (IG)1",2,90492
"Condensation of Prometaphase Chromosomes",15,90479
"Phosphate bond hydrolysis by NUDT proteins",34,90460
"Cyclin D associated events in G1",48,90446
"Adenosine P1 receptors",5,90489
"Small interfering RNA (siRNA) biogenesis",11,90483
"TRAF3-dependent IRF activation pathway",17,90477
"SCF(Skp2)-mediated degradation of p27/p21",62,90432
"PIP3 activates AKT signaling",282,90212
"Glycogen breakdown (glycogenolysis)",27,90467
"Alternative complement activation",6,90488
"Latent infection of Homo sapiens with Mycobacterium tuberculosis",72,90422
"RNA Polymerase III Transcription",46,90448
"Signal transduction by L1",25,90469
"Tetrahydrobiopterin (BH4) synthesis, recycling, salvage and regulation",37,90457
"MET activates STAT3",5,90489
"Activation of caspases through apoptosome-mediated cleavage",7,90487
"Beta-catenin phosphorylation cascade",19,90475
"Nectin/Necl  trans heterodimerization",7,90487
"Prolactin receptor signaling",18,90476
"XAV939 inhibits tankyrase, stabilizing AXIN",3,90491
"Glycerophospholipid biosynthesis",222,90272
"Signaling by FGFR3 point mutants in cancer",40,90454
"HS-GAG biosynthesis",40,90454
"TGFBR2 MSI Frameshift Mutants in Cancer",2,90492
"CLEC7A (Dectin-1) signaling",114,90380
"Synthesis of PIPs at the ER membrane",14,90480
"N-glycan antennae elongation in the medial/trans-Golgi",46,90448
"RUNX1 regulates estrogen receptor mediated transcription",7,90487
"Formation of Senescence-Associated Heterochromatin Foci (SAHF)",17,90477
"GRB2 events in EGFR signaling",267,90227
"Transport of HA trimer, NA tetramer and M2 tetramer from the endoplasmic reticulum to the Golgi Apparatus",3,90491
"Mismatch repair (MMR) directed by MSH2:MSH6 (MutSalpha)",23,90471
"Defective MMADHC causes methylmalonic aciduria and homocystinuria type cblD",3,90491
"Recognition and association of DNA glycosylase with site containing an affected purine",3,90491
"HIV Life Cycle",173,90321
"Vitamins",19,90475
"VEGFR2 mediated cell proliferation",285,90209
"Formation of the Editosome",8,90486
"CLEC7A (Dectin-1) induces NFAT activation",18,90476
"Acetylcholine regulates insulin secretion",19,90475
"Aflatoxin activation and detoxification",50,90444
"Activation of AKT2",7,90487
"Phase 4 - resting membrane potential",20,90474
"Inositol phosphate metabolism",160,90334
"Activation of anterior HOX genes in hindbrain development during early embryogenesis",92,90402
"PI Metabolism",112,90382
"Propionyl-CoA catabolism",14,90480
"Reelin signalling pathway",9,90485
"AKT phosphorylates targets in the cytosol",16,90478
"Phenylalanine and tyrosine catabolism",42,90452
"Phase 1 - inactivation of fast Na+ channels",8,90486
"FGFR3 ligand binding and activation",19,90475
"Downregulation of ERBB2 signaling",36,90458
"PTK6 promotes HIF1A stabilization",8,90486
"Negative regulation of FGFR3 signaling",34,90460
"Defective B3GAT3 causes JDSSDHD",20,90474
"Regulation of mitotic cell cycle",90,90404
"ChREBP activates metabolic gene expression",8,90486
"Nuclear Envelope Reassembly",16,90478
"EPHB-mediated forward signaling",52,90442
"Activation of gene expression by SREBF (SREBP)",49,90445
"Regulation of TP53 Activity",172,90322
"Downregulation of SMAD2/3:SMAD4 transcriptional activity",27,90467
"Nef-mediates down modulation of cell surface receptors by recruiting them to clathrin adapters",22,90472
"Neurophilin interactions with VEGF and VEGFR",4,90490
"Laminin interactions",31,90463
"PIPs transport between plasma and early endosome membranes",1,90493
"Regulation of pyruvate dehydrogenase (PDH) complex",26,90468
"Regulation of signaling by CBL",24,90470
"Inhibition of PKR",2,90492
"Phospholipid metabolism",315,90179
"FGFR4 mutant receptor activation",4,90490
"Formation of HIV-1 elongation complex containing HIV-1 Tat",49,90445
"Platelet Adhesion to exposed collagen",16,90478
"CD209 (DC-SIGN) signaling",29,90465
"mRNA Editing",12,90482
"Phase 0 - rapid depolarisation",47,90447
"Beta-oxidation of very long chain fatty acids",38,90456
"Abasic sugar-phosphate removal via the single-nucleotide replacement pathway",3,90491
"CREB phosphorylation through the activation of CaMKII",20,90474
"FGFR2 mutant receptor activation",48,90446
"Signal Transduction",2909,87585
"Activation of BIM and translocation to mitochondria ",3,90491
"SMAC binds to IAPs ",5,90489
"Removal of the Flap Intermediate",18,90476
"GABA B receptor activation",45,90449
"TP53 Regulates Transcription of Cell Cycle Genes",51,90443
"Scavenging by Class F Receptors",16,90478
"Defective SLC20A2 causes idiopathic basal ganglia calcification 1 (IBGC1)",2,90492
"Stimulation of the cell death response by PAK-2p34",4,90490
"Paradoxical activation of RAF signaling by kinase inactive BRAF",48,90446
"Hedgehog 'off' state",119,90375
"Synthesis of 5-eicosatetraenoic acids",24,90470
"The role of GTSE1 in G2/M progression after G2 checkpoint",82,90412
"Depyrimidination",17,90477
"Nucleotide Excision Repair",119,90375
"Insulin processing",31,90463
"RET signaling",292,90202
"AUF1 (hnRNP D0) binds and destabilizes mRNA",56,90438
"TGFBR1 KD Mutants in Cancer",9,90485
"Defective UGT1A4 causes hyperbilirubinemia",3,90491
"MyD88 deficiency (TLR5)",4,90490
"TWIK related potassium channel (TREK)",4,90490
"Signalling to STAT3",5,90489
"Defective pro-SFTPC causes pulmonary surfactant metabolism dysfunction 2 (SMDP2) and respiratory distress syndrome (RDS)",2,90492
"Defective ABCD4 causes methylmalonic aciduria and homocystinuria, cblj type (MAHCJ)",3,90491
"The AIM2 inflammasome",4,90490
"HDR through Homologous Recombination (HR) or Single Strand Annealing (SSA)",124,90370
"Defective SLC7A7 causes lysinuric protein intolerance (LPI)",3,90491
"FGFR4 ligand binding and activation",17,90477
"Signaling by moderate kinase activity BRAF mutants",47,90447
"Defective SLC24A1 causes congenital stationary night blindness 1D (CSNB1D)",3,90491
"Neuronal System",422,90072
"HDACs deacetylate histones",63,90431
"Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer",50,90444
"Ethanol oxidation",28,90466
"Signaling by BRAF and RAF fusions",68,90426
"Dissolution of Fibrin Clot",14,90480
"Autodegradation of Cdh1 by Cdh1:APC/C",63,90431
"Termination of O-glycan biosynthesis",28,90466
"CRMPs in Sema3A signaling",18,90476
"Golgi Cisternae Pericentriolar Stack Reorganization",17,90477
"SDK interactions",2,90492
"MET activates PTPN11",5,90489
"Calcitonin-like ligand receptors",10,90484
"Assembly of active LPL and LIPC lipase complexes",25,90469
"Uptake and function of diphtheria toxin",10,90484
"IP6 and IP7 transport between cytosol and nucleus",3,90491
"Transcriptional Regulation by TP53",403,90091
"RAB GEFs exchange GTP for GDP on RABs",93,90401
"Extension of Telomeres",44,90450
"Synthesis of IP2, IP, and Ins in the cytosol",32,90462
